term,coefficient,HC3_SE,HC3_p,model_cluster_SE,model_cluster_p,occupation_cluster_SE,occupation_cluster_p
intercept,0.2818418150713472,0.009632261167075476,3.331370130837338e-188,0.02663222042785419,4.611119069542382e-08,0.0049422541400216125,6.670917599991505e-14
S.B,-0.1318918066196123,0.01312010349749019,8.942973015531787e-24,0.03820013692923728,0.003884103397202606,0.019528389819972198,5.0182422332540564e-05
S.C,-0.22969353093834677,0.01098378253552012,4.158748396261163e-97,0.040209945393798956,5.3677367285573775e-05,0.006749499511991802,1.1355705037904694e-11
T.pres,-0.016182545053107657,0.014351468725731734,0.2594939234778416,0.008916412059250724,0.09101524795724876,0.0052330905721137515,0.011398246623643263
T.sum,-0.26291243753719584,0.012841750713037824,3.7286460878562464e-93,0.010582101986801826,5.581511113869012e-13,0.010658727037245313,2.738986621129213e-10
