term,coef,p
Intercept,0.3828,0.0
C(task)[T.presentation],-0.0305,0.0631
C(task)[T.summary],0.0652,0.0
C(segment)[T.B],-0.2495,0.0
C(segment)[T.C],-0.1517,0.0
proxy_total,-0.0277,0.0
