baseline,weights,rank,MAE,RMSE,R2,MAE_clipped,RMSE_clipped,R2_clipped
BM,time,3,0.054617,0.066731,0.354672,0.054617,0.066731,0.354672
BM,importance,3,0.056111,0.069918,0.29156,0.056111,0.069918,0.29156
ref4,time,3,0.098833,0.11756,0.275125,0.110655,0.124928,0.181415
ref4,importance,3,0.099112,0.119306,0.253431,0.099124,0.119308,0.253409
