baseline,spec,n,R2,AIC
BM,base,495,0.3027297357839226,-486.18673342571685
BM,full,495,0.3404837376425648,-493.7416304683825
ref4,base,495,0.2418771686725919,-312.64288292337585
ref4,full,495,0.29938632593485337,-331.69283441790105
