y,n,pearson_r,pearson_p,spearman_r,spearman_p,slope(y~Elo),slope_p
time_abs_re_ref4,15,-0.6221030989554823,0.01327253126247752,-0.5031352076619392,0.05590133240319165,-0.0002714994643668782,0.013272531262477521
time_abs_ae_ref4,15,-0.570369457251377,0.026404704439995142,-0.4565817720775605,0.08711504808134146,-0.00022025650949001254,0.02640470443999513
imp_abs_re2_bm,15,-0.5506935131364585,0.033386322460008666,-0.6678627489605101,0.006509342404253082,-0.0002282265802164602,0.03338632246000853
imp_abs_ae2_bm,15,-0.5307936893194027,0.04177205120234564,-0.6445860311683207,0.009482764089635817,-0.000134315833992362,0.04177205120234558
imp_abs_re2_ref4,15,-0.4447366063646923,0.09670672384136951,-0.3598938674023124,0.1876319707296555,-0.00021504544787981453,0.09670672384136951
imp_abs_ae2_ref4,15,-0.40283432025781174,0.1365519838296179,-0.293644747532235,0.288116195093142,-0.0001623934253880699,0.13655198382961786
time_abs_ae_bm,15,0.031031580925546545,0.9125810457113755,-0.15935599103883485,0.570520155405419,1.2986745408386553e-05,0.912581045711376
time_abs_re_bm,15,0.04658944087742667,0.8690429152058076,-0.18979477584400556,0.49808828004960926,3.506220821570365e-05,0.8690429152058079
